id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26405420,Ca María,198185545,Sonia,POBLATS MARITIMS,LA MALVA-ROSA,39.48135,-0.32728,Entire home/apt,172,4,124,2024-03-06,1.83,2,281,27,vt-46858 v
1110191981989532950,Feliz casa!,312158352,认证手机用户1651,RASCANYA,SANT LLORENS,39.487486049055946,-0.3643514200128541,Shared room,40,1,0,,,1,266,0,
970202040703865678,apartamento completo 4,474489305,Paco,EXTRAMURS,EL BOTANIC,39.47305023948693,-0.38442136141814764,Entire home/apt,101,1,0,,,24,269,0,
1110200636787207468,Eco Suite mediterránea,425428991,Tatyana,CAMPANAR,CAMPANAR,39.47923084585335,-0.39298592635920004,Entire home/apt,94,1,0,,,10,80,0,
1093325332010686347,Apartment close to the Turia,287097266,Joyce,QUATRE CARRERES,MONT-OLIVET,39.45988225744135,-0.3626660850613892,Entire home/apt,,90,0,,,1,82,0,
528300,"Habitación, 1 ó 2 pax, en ático a compartir y a.a",1326001,Mariano,CAMINS AL GRAU,LA CREU DEL GRAU,39.46128,-0.34478,Private room,40,90,0,,,4,365,0,
933107099681407648,LA 6.1 Habitacion privada doble,400448714,MyCO,QUATRE CARRERES,MONT-OLIVET,39.46175824115162,-0.362466434944362,Private room,33,29,0,,,32,237,0,
1108771701691048894,Apartamento av amado Granell,565387826,Lauragiselle,QUATRE CARRERES,MONT-OLIVET,39.45839113780846,-0.36477387393920196,Private room,8,1,0,,,1,2,0,
1108525340737662653,Habitacion con baño privado,563696386,Maria,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45351981821583,-0.3483119827715996,Private room,80,2,0,,,1,269,0,
809420912220813591,Dormitorio Grande estudiantes intercambio centro,465324815,Elodie,LA SAIDIA,MORVEDRE,39.48581730968985,-0.37737447197139473,Private room,49,5,1,2023-04-18,0.09,24,328,1,
704766817936341852,Comfortable private room with balcony,49479950,Nati,CAMPANAR,EL CALVARI,39.48635,-0.39071,Private room,,1,52,2024-03-10,2.76,1,0,36,
725709692225103122,Habitación privada al lado del parque de benicalap,32514513,RIki,BENICALAP,CIUTAT FALLERA,39.49758,-0.39511,Private room,42,1,23,2024-03-20,1.29,1,171,14,
728931005416548497,"Loft Moderno y confortable C, zona Rambleta",439630774,Manuela,JESUS,CAMI REAL,39.44752,-0.39273,Entire home/apt,68,2,69,2024-03-24,3.88,16,311,51,VT-51240-V
765287853717850828,Calle Mora de Rubielos + Free Private Parking,488645526,Adrian,JESUS,LA RAIOSA,39.45942,-0.38663,Entire home/apt,179,3,1,2023-08-07,0.13,2,255,1,
766570281930687213,Aroma D’Valencia Apartment,44881861,Lissette,LA SAIDIA,MORVEDRE,39.48706452750826,-0.3772815316915512,Entire home/apt,282,3,2,2023-11-26,0.13,1,198,1,VT45374V
776742449248633973,Loft en el centro de Valencia,325570133,Pablo,CIUTAT VELLA,EL PILAR,39.47395,-0.38395,Entire home/apt,102,3,50,2024-03-06,3.50,13,241,42,
810946857347303545,Apartamento playa de malvarrosa,473276875,Servicios Y Alojamientos Valencia,POBLATS MARITIMS,LA MALVA-ROSA,39.47940547037152,-0.3268063813447952,Entire home/apt,159,2,4,2023-08-19,0.37,8,362,4,
814568742145339560,"Beach Loft Apt, Private Terrace",49898126,Lucia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46932949711233,-0.32973065972328186,Entire home/apt,74,3,51,2024-03-23,3.83,1,178,46,
844287936366894406,Apartamento Río Turia 2,299065338,Sara,L'OLIVERETA,NOU MOLES,39.471528299372615,-0.39594886375516913,Entire home/apt,138,2,19,2024-03-21,1.50,8,327,17,
873614459825551872,Artistic flat  next to Ruzafa,224920143,Fabio,QUATRE CARRERES,EN CORTS,39.455559099164404,-0.3719751164317131,Entire home/apt,139,2,49,2024-03-20,4.43,2,283,49,
885276392479940533,Habitación para 1 sola huésped,505957488,Maria Pilar,CAMINS AL GRAU,LA CREU DEL GRAU,39.4615136992288,-0.3473849594593048,Private room,,2,0,,,1,0,0,
890394828993700436,Sweat Apartment on the Beach,514531557,Raya,POBLATS MARITIMS,LA MALVA-ROSA,39.48033,-0.32784,Entire home/apt,260,1,5,2023-08-31,0.63,1,361,5,
902818098368041689,Amazing flat with terrace,500202925,Laura,ALGIROS,CIUTAT JARDI,39.46987329153653,-0.3434179723262787,Private room,30,1,8,2023-10-22,0.88,2,249,8,
907008493193948198,Habitación céntrica con Balcón privado.,3425339,M. Andrea,EL PLA DEL REAL,MESTALLA,39.47225,-0.35428,Private room,43,1,11,2023-11-10,1.16,4,91,11,
907592348118391051,Super Flat 3 rooms 1 toilet Center wifi  AC,518491826,Sean Karl,L'EIXAMPLE,RUSSAFA,39.46173,-0.37639,Entire home/apt,104,2,21,2024-03-10,2.22,1,283,21,
912945756732839364,Loft con balcones y gran terraza,1475373,Marta,PATRAIX,PATRAIX,39.46130966672266,-0.3884625152281994,Entire home/apt,73,2,7,2024-03-03,1.42,8,20,7,
918071737855199535,Cozy room in a modern apartment,49191131,Jens,POBLATS MARITIMS,LA MALVA-ROSA,39.48161690520038,-0.3289911348041806,Private room,20,40,1,2023-12-22,0.32,2,49,1,
925989621102176711,North Station Apartments,3711511,Cañada Properties,JESUS,LA RAIOSA,39.4564957,-0.3828179,Entire home/apt,95,1,9,2024-03-03,1.06,8,160,9,
928864238146167739,habitación con ambiente familiar,523865568,Juan Carlos,L'OLIVERETA,NOU MOLES,39.470129522271925,-0.3956969082355499,Private room,57,1,2,2024-03-17,0.24,1,89,2,
931192669285055950,Canela,524505340,Liseña,LA SAIDIA,MORVEDRE,39.48426138580524,-0.3781042993068695,Shared room,75,2,0,,,1,179,0,
933236035961400676,LA E2 estudio privado,400448714,MyCO,QUATRE CARRERES,MONT-OLIVET,39.45973033255223,-0.3643257896385772,Entire home/apt,45,29,2,2024-01-21,0.29,32,294,2,
934651268792662069,Apartamento junto a la playa de Valencia,22997268,Juan,POBLATS MARITIMS,LA MALVA-ROSA,39.4832081,-0.3270117,Entire home/apt,95,2,30,2024-03-19,3.90,2,53,30,
938181169671492990,The Bohemian Beach House,1145189,Maria Mercedes,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.4693020662172,-0.3299221023917198,Entire home/apt,128,2,3,2023-10-08,0.42,4,241,3,
948420285671931868,Habitan con baño privado 2,372868464,Luciana Aparecida,QUATRE CARRERES,EN CORTS,39.45797200470781,-0.36996379494667053,Private room,61,1,8,2024-03-18,1.03,14,184,8,
948436404242299832,Apartamento La Rambleta,522867173,Daniela,JESUS,CAMI REAL,39.44292,-0.39479,Entire home/apt,146,1,26,2024-02-25,3.42,1,1,26,
948700052038053301,Beach Valencia Malvarrosa,149418725,Victor,POBLATS MARITIMS,LA MALVA-ROSA,39.48044733546538,-0.3281963571518154,Entire home/apt,111,2,15,2024-03-10,1.96,2,208,15,22000/2023/212648
961733357922839273,Habitación céntrica moderna y luminosa,532790344,Carmen,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45378,-0.36027,Private room,60,1,0,,,4,98,0,
963550590265657480,Super Duplex front oceanografic 6 pax 2 BTH. NewAC,211991268,ValenciaGUEST,CAMINS AL GRAU,PENYA-ROJA,39.46385811098069,-0.3562499883062265,Entire home/apt,129,2,13,2024-03-03,1.90,31,235,13,
967251507632445709,"Architektenhaus mit Dachterrasse - strandnah, hell",534131810,Martin,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47396481157597,-0.32884748301525546,Entire home/apt,157,4,2,2023-10-26,0.36,1,313,2,
969244210194423786,Bonito loft a minutos de la Ciudad de las Artes,432981976,Clink,POBLATS MARITIMS,NATZARET,39.45038582284102,-0.33309024487189365,Entire home/apt,112,1,3,2024-03-10,1.18,20,125,3,
6269594,Habitación acogedora,32581860,Encarni,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45566026611338,-0.3583940863609314,Private room,80,1,0,,,1,175,0,
6272554,Cozy apartment near the center,32582074,Dmitriy And Olga,LA SAIDIA,SANT ANTONI,39.48697,-0.37514,Entire home/apt,90,9,74,2023-08-11,0.69,1,0,2,
13423043,Habitación Privada en Ático en Valencia (Piscina),30276642,Jose Luis,QUATRE CARRERES,LA FONTETA S.LLUIS,39.44699,-0.36854,Private room,32,3,129,2024-03-20,1.37,1,165,33,6498401YJ2669G0274WD
13603077,Cabanyal Valencia Beach,78678171,Sergi,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.470272064208984,-0.3294849991798401,Entire home/apt,110,2,119,2023-12-04,1.26,1,132,15,
14238143,"100 metro de la playa, universidades  15min andand",84972913,Andrea,BENIMACLET,BENIMACLET,39.48327,-0.35652,Private room,70,7,0,,,1,89,0,
18826858,Nice apartment 50 m from the beach,54660329,Olena,POBLATS DEL SUD,EL PERELLONET,39.30452,-0.29346,Entire home/apt,,2,18,2023-06-18,0.26,1,0,2,VT-44561-V
20845899,2B CASUAL-CHIC STUDIO EN EL CENTRO HISTORICO,54449319,Maria,CIUTAT VELLA,EL CARME,39.47948,-0.3794,Entire home/apt,79,3,318,2024-03-14,4.02,5,170,57,Generalitat Valenciana VT-41910-V. Ayuntamiento de Valencia actividad terciario hotelero 001092017002227
22474061,Habitación a 15 minutos del centro,24367730,Luz,EL PLA DEL REAL,JAUME ROIG,39.48143,-0.36208,Private room,34,2,0,,,13,365,0,
24825903,Habitación doble para estudiantes _Benicarlo_4,29610078,Silvia,BENIMACLET,BENIMACLET,39.48787,-0.36604,Private room,14,15,2,2023-09-05,0.04,13,180,1,
26329759,Apartamento de diseño en Extramurs,12858095,Maira,EXTRAMURS,ARRANCAPINS,39.46888,-0.39127,Entire home/apt,80,3,2,2024-02-18,0.03,2,149,1,
33759890,Cozy apartment Valencia city center!,36650915,Juan Carlos,LA SAIDIA,SANT ANTONI,39.48798,-0.36973,Entire home/apt,200,2,30,2023-11-03,0.51,2,15,4,VT-49902-V
35061393,Apartamento con vistas,264108647,Maria,CIUTAT VELLA,EL CARME,39.47978,-0.3828,Entire home/apt,,3,96,2024-03-20,1.64,1,2,26,
35255061,Habitación privada con piscina en calle Alfahuir,131999893,Sandra,RASCANYA,SANT LLORENS,39.49223,-0.36181,Private room,28,1,37,2023-12-03,0.63,4,364,17,
35936933,Habitación en valencia España,7973007,Felipe,LA SAIDIA,TORMOS,39.4897,-0.37659,Private room,75,2,10,2022-03-21,0.17,1,29,0,
36402724,Center in the heart of Valencia,30907725,Milagros,CIUTAT VELLA,EL PILAR,39.47129,-0.38014,Entire home/apt,,2,29,2022-11-15,0.52,1,2,0,
36510148,Twin Double Room. 2 PAX. Canovas. Valencia. CAN 4,170698476,Bet,L'EIXAMPLE,EL PLA DEL REMEI,39.46923,-0.36545,Entire home/apt,158,1,2,2023-03-04,0.07,36,58,0,HV-1463
36582288,IBIZA,178009159,Sergii,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46926,-0.32847,Private room,79,1,160,2024-02-25,2.80,11,173,25,
40576404,Big apartment 200m2 close to the sea,231399040,Italo,ALGIROS,L'AMISTAT,39.47177,-0.3497,Private room,226,5,7,2023-08-08,0.16,1,11,2,
42535734,Stylisches Loft am Meer mit Terrasse -Loft del mar,7513757,Ines,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47433,-0.32808,Entire home/apt,99,3,57,2024-03-08,2.29,1,82,30,
42985696,"New Cozy Beach apartment, WiFi",4905547,Tommy,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47244,-0.32768,Entire home/apt,151,3,122,2024-03-07,2.71,1,41,11,
43965540,habitacion con encanto y luminosa céntrica,352126327,Vicente,L'OLIVERETA,NOU MOLES,39.46882,-0.39309,Private room,41,7,34,2024-01-12,0.75,4,184,12,
46034272,"Apartamentos Navío, 4",373123594,Igor,CAMPANAR,LES TENDETES,39.48375,-0.38679,Entire home/apt,104,1,228,2024-03-23,5.54,2,80,77,
48688477,Pelayo - Loft in city centre,17825634,Eino,EXTRAMURS,LA ROQUETA,39.46508,-0.37995,Entire home/apt,116,1,17,2024-03-03,0.49,8,258,8,
49442983,El piso céntrico y acogedor.,5308098,Konstantin,LA SAIDIA,MORVEDRE,39.48445,-0.37152,Entire home/apt,92,3,87,2024-03-02,2.50,1,11,32,
50478103,Apartment close to City of Art,203029732,Ovi,QUATRE CARRERES,NA ROVELLA,39.45565,-0.36285,Entire home/apt,86,3,166,2024-03-08,4.97,4,81,59,VT-42311-V
51561145,Beautiful Valencian HOUSE | NICE Balcony | Ruzafa,33918935,Pilar,QUATRE CARRERES,EN CORTS,39.457088,-0.368344,Entire home/apt,110,3,127,2024-03-14,4.00,4,128,63,VT-49847-V
53352646,"Loft en el Cabañal, Valencia, cerca del mar.",431957931,Luigi,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47385016465598,-0.32887168547366513,Entire home/apt,110,2,19,2024-03-20,3.28,2,92,19,Y9127787K
53846893,Habitación privada valencia,426719264,Maribel,QUATRE CARRERES,MALILLA,39.446369,-0.380112,Private room,36,1,130,2023-11-12,4.79,2,62,35,
533119874304023870,Best Location City Center- Plaza del Ayuntamiento,72711666,Iván,CIUTAT VELLA,EL MERCAT,39.47382,-0.37766,Private room,107,2,7,2022-08-24,0.27,1,83,0,
560059031283851467,Apartamento con zonas comunes compartidas,444620582,Eliseo,CIUTAT VELLA,EL MERCAT,39.47335,-0.38049,Private room,156,1,23,2023-05-31,0.94,4,10,3,
562682976318646121,Habitación con zonas comunes compartidas,444620582,Eliseo,CIUTAT VELLA,EL MERCAT,39.47262,-0.37874,Private room,79,1,11,2024-03-15,0.46,4,7,3,
597542974019419490,Botanico Room Terrace II,83066665,SingularStays,EXTRAMURS,EL BOTANIC,39.47527,-0.38705,Entire home/apt,113,1,12,2023-12-20,0.68,116,295,10,EGVT-221-V
602747274683032725,Precioso apartamento en Valencia en zona Mestalla,453779677,Cesar,EL PLA DEL REAL,MESTALLA,39.46972,-0.35578,Entire home/apt,129,4,58,2024-03-20,3.13,1,194,34,
606280390779641740,"Private double room with bathroom in 
modern flat",443058651,JVicente,CAMINS AL GRAU,LA CREU DEL GRAU,39.46301,-0.34358,Private room,19,7,45,2024-03-21,2.17,5,188,28,
623989457638409940,"Precioso lofft en el cabanyal, valencia",87944,Lorena,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.471287,-0.330125,Entire home/apt,79,2,107,2024-03-06,4.86,1,219,62,
632579574666453450,Habitación Doble Deluxe con baño Privado separado,438132386,Javier,CIUTAT VELLA,LA XEREA,39.4749,-0.36911,Private room,35,1,0,,,6,294,0,
648330712828385801,Malvarrosa Playa 4 Habitaciones,125782486,Raúl,POBLATS MARITIMS,LA MALVA-ROSA,39.4819492,-0.3283575,Entire home/apt,130,4,5,2022-09-01,0.24,4,0,0,
664327746421661207,Precioso loft con terraza céntrico en Valencia,153272355,Gemma,EXTRAMURS,LA PETXINA,39.4700202,-0.389857,Entire home/apt,100,3,35,2024-03-18,1.72,1,332,22,
999343803560535559,Casa adosada con vistas al mar,124558227,Javier,POBLATS DEL SUD,PINEDO,39.41476492931511,-0.33465813763152497,Entire home/apt,,3,0,,,1,1,0,
1015124788135653965,Moderno piso en zona residencial,326299352,Vicent,RASCANYA,SANT LLORENS,39.4929,-0.36705,Entire home/apt,,1,2,2024-03-17,0.56,1,85,2,
1018751943364956133,Cozy Room with private Bathroom,60856400,Begoña,L'EIXAMPLE,RUSSAFA,39.4624499,-0.3644807,Private room,50,2,21,2024-03-16,5.53,1,137,21,
1018976157919654314,Luxury 4 min walk to BEACH room6,60717278,Zara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47432005620241,-0.32723275602176266,Private room,70,1,0,,,7,132,0,
1023252043151455456,Apartamento entero en Valencia. Loft  B,439630774,Manuela,JESUS,SANT MARCEL.LI,39.444133394309276,-0.38835341033237786,Entire home/apt,64,2,11,2024-02-24,2.60,16,311,11,VT-53870-V
1023954713956549843,Luxury room 4min to the Beach r1,545584351,Zaracasa,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47427,-0.32711,Private room,,1,0,,,3,0,0,
1032559685764747526,Junto Universidad I entre playa y centro,60187479,Toni,EL PLA DEL REAL,CIUTAT UNIVERSITARIA,39.47748593499196,-0.3569148470819065,Private room,18,28,1,2023-12-04,0.27,14,195,1,
1049295130307506853,Habitación doble baño privado en Valencia,551544322,Aurora,POBLATS DE L'OEST,BENIFERRI,39.49554811074703,-0.40424148205852733,Private room,35,1,0,,,1,263,0,
1053777780740347347,Non-AC Double/Twin Room,552404429,Saurav,LA SAIDIA,MARXALENES,39.48729,-0.38396,Private room,52,1,1,2024-02-21,0.88,3,85,1,
1059857989859634265,Apartamento C-2 Mini piscina no climatizada,553125168,Eric,BENICALAP,BENICALAP,39.4899613,-0.3874197,Entire home/apt,74,1,0,,,31,253,0,
1060621292372227376,Habitación pequeña baño compartido,76610062,Ricardo,CIUTAT VELLA,LA XEREA,39.47458044022021,-0.3717099808888023,Private room,40,10,0,,,3,178,0,
